,City,Cloudiness,Country,Humidity,Lat,Lng,Max_temp,Wind_speed
395,kankan,48.0,GN,86.0,10.38,-9.3,79.89,1.9
396,port macquarie,0.0,AU,46.0,-31.43,152.91,51.01,14.99
397,ngorongoro,0.0,TZ,61.0,-3.24,35.49,66.03,15.14
398,tuy hoa,14.0,VN,80.0,13.08,109.3,76.83,5.68
399,orlik,0.0,PL,55.0,53.95,17.74,66.99,12.75
400,veinticinco de mayo,100.0,AR,98.0,-27.38,-54.75,64.41,0.25
401,minab,75.0,IR,75.0,27.15,57.07,93.2,6.93
402,kasulu,43.0,TZ,61.0,-4.57,30.11,68.73,3.11
403,havelock,40.0,US,49.0,34.88,-76.9,95.0,5.82
404,hofn,90.0,IS,93.0,64.25,-15.21,53.6,5.82
405,gorontalo,81.0,ID,85.0,0.54,123.06,73.59,7.27
406,shelburne,1.0,CA,50.0,44.08,-80.2,81.0,12.75
407,chepareria,50.0,KE,73.0,1.32,35.2,68.37,4.27
408,severomuysk,2.0,RU,87.0,56.17,113.57,45.69,2.24
409,porec,0.0,HR,53.0,45.23,13.59,77.0,5.82
410,hargeysa,53.0,SO,60.0,9.56,44.06,72.15,26.31
411,henties bay,0.0,NA,94.0,-22.12,14.28,54.0,9.4
412,dawlatabad,0.0,AF,8.0,36.41,64.91,88.35,12.68
413,kahului,1.0,US,58.0,20.89,-156.47,82.4,16.11
414,yuci,96.0,CN,73.0,37.68,112.73,73.4,6.71
415,hirara,0.0,JP,82.0,24.8,125.28,83.49,9.13
416,wisconsin rapids,1.0,US,51.0,44.39,-89.82,86.0,4.7
417,antalaha,47.0,MG,92.0,-14.9,50.28,57.21,3.2
418,udachnyy,75.0,RU,76.0,66.42,112.4,57.2,6.71
419,matay,0.0,EG,16.0,28.42,30.79,89.61,10.63
420,stuhr,75.0,DE,72.0,53.03,8.75,61.0,9.17
421,samba,40.0,IN,83.0,32.56,75.12,80.6,6.93
422,gaoyou,1.0,CN,84.0,32.79,119.43,75.0,1.01
423,zabid,88.0,YE,52.0,14.2,44.5,74.85,5.26
424,foumban,100.0,CM,91.0,5.73,10.9,64.41,2.26
425,itacoatiara,42.0,BR,76.0,-3.14,-58.44,83.85,2.24
426,sorong,100.0,ID,91.0,-0.86,131.25,73.23,8.48
427,urla,20.0,TR,83.0,38.32,26.77,73.4,5.82
428,mataram,48.0,ID,98.0,-5.32,105.06,68.55,1.25
429,pevek,91.0,RU,94.0,69.7,170.27,34.35,11.97
430,portland,40.0,US,48.0,43.66,-70.25,86.0,12.75
431,baykit,47.0,RU,96.0,61.68,96.39,50.73,2.68
432,neustadt,75.0,CH,82.0,47.05,8.31,66.99,4.7
433,duartina,0.0,BR,28.0,-22.41,-49.41,86.0,9.17
434,outlook,10.0,CA,72.0,51.48,-107.04,73.0,5.82
435,niamey,20.0,NE,30.0,13.52,2.11,96.8,4.7
436,coahuayana,91.0,MX,72.0,18.62,-100.35,84.21,2.19
437,roald,40.0,NO,76.0,62.58,6.12,57.2,5.82
438,ardakan,40.0,IR,13.0,32.31,54.02,102.2,6.93
439,verkhnyaya inta,100.0,RU,90.0,65.99,60.32,60.63,5.41
440,ikungi,41.0,TZ,52.0,-5.13,34.77,68.19,8.01
441,along,100.0,IN,100.0,28.17,94.8,59.37,2.08
442,lumeje,0.0,AO,23.0,-11.56,20.78,66.75,4.29
443,tiznit,0.0,MA,90.0,29.7,-9.73,69.09,9.17
444,boyabat,100.0,TR,88.0,41.47,34.77,57.93,3.44
445,san,58.0,ML,37.0,13.3,-4.9,93.21,1.36
446,beringovskiy,86.0,RU,88.0,63.05,179.32,53.97,3.13
447,pochutla,40.0,MX,59.0,15.74,-96.47,90.0,3.53
448,faanui,98.0,PF,76.0,-16.48,-151.75,79.53,11.12
449,sarahan,92.0,IN,85.0,31.51,77.79,57.57,2.59
450,leshukonskoye,16.0,RU,61.0,64.9,45.76,57.57,1.57
451,san matias,0.0,BO,20.0,-16.36,-58.4,97.89,6.26
452,zaozhuang,13.0,CN,87.0,34.86,117.55,71.43,5.3
453,coruripe,13.0,BR,79.0,-10.12,-36.18,78.09,10.85
454,verkhnevilyuysk,33.0,RU,69.0,63.45,120.31,59.73,3.83
455,payakumbuh,50.0,ID,97.0,-0.23,100.63,66.57,3.02
456,laguna,40.0,BZ,70.0,16.17,-88.94,89.6,4.7
457,sao joao da barra,0.0,BR,29.0,-21.64,-41.05,89.6,5.82
458,comodoro rivadavia,75.0,AR,71.0,-45.87,-67.48,51.8,4.7
459,terre haute,1.0,US,49.0,39.47,-87.41,91.0,3.36
460,abu dhabi,0.0,AE,67.0,24.47,54.37,93.2,10.29
461,deer lake,40.0,CA,41.0,49.18,-57.43,78.8,2.24
462,sitrah,0.0,BH,46.0,26.15,50.62,93.2,10.29
463,port hedland,0.0,AU,26.0,-20.31,118.58,55.4,8.05
464,poronaysk,100.0,RU,96.0,49.22,143.1,50.01,4.88
465,lomas de sargentillo,40.0,EC,69.0,-1.88,-80.08,78.8,5.82
466,muravlenko,9.0,RU,63.0,63.79,74.5,73.59,17.6
467,doha,0.0,QA,22.0,25.29,51.53,96.8,11.41
468,iranshahr,40.0,IR,27.0,27.21,60.69,100.4,11.41
469,pacific grove,90.0,US,77.0,36.62,-121.92,84.99,9.17
470,kamaishi,72.0,JP,98.0,39.28,141.86,58.29,3.83
471,santa maria,0.0,BR,23.0,-16.02,-48.01,82.4,3.36
472,neyshabur,58.0,IR,31.0,36.21,58.79,82.05,18.95
473,okhotsk,100.0,RU,94.0,59.36,143.24,52.17,7.54
474,methala,40.0,IN,94.0,10.22,76.22,84.0,6.93
475,adelaide,75.0,AU,87.0,-34.93,138.6,53.01,11.41
476,saint-ambroise,75.0,CA,64.0,48.56,-71.32,72.0,14.99
477,irmo,40.0,US,55.0,34.09,-81.18,93.0,5.82
478,berlevag,75.0,NO,70.0,70.86,29.09,46.4,11.41
479,sazonovo,10.0,RU,70.0,54.2,39.81,55.99,2.73
480,aklavik,75.0,CA,64.0,68.22,-135.01,69.8,5.82
481,batticaloa,94.0,LK,80.0,7.71,81.69,79.53,1.86
482,diffa,71.0,NE,18.0,13.32,12.61,101.13,3.0
483,coihaique,20.0,CL,75.0,-45.58,-72.07,46.4,5.82
484,porto empedocle,5.0,IT,74.0,37.29,13.53,84.99,5.82
485,egvekinot,100.0,RU,90.0,66.32,-179.17,51.81,10.13
486,forio,40.0,IT,42.0,40.73,13.86,82.4,9.46
487,billings,20.0,US,35.0,45.79,-108.5,87.01,8.05
488,plettenberg bay,56.0,ZA,86.0,-34.05,23.37,54.87,4.05
489,karatau,0.0,KZ,54.0,43.18,70.46,80.01,1.01
490,hays,1.0,US,48.0,38.88,-99.33,95.0,11.41
491,yumen,0.0,CN,24.0,40.29,97.04,77.37,9.98
492,makat,100.0,KZ,78.0,47.65,53.35,68.37,24.74
493,raudeberg,20.0,NO,66.0,61.99,5.14,59.0,28.86
494,hamilton,40.0,CA,50.0,43.26,-79.87,81.0,10.29
495,castle rock,90.0,US,72.0,46.27,-122.91,75.0,3.36
496,klyuchi,0.0,RU,73.0,52.25,79.17,68.19,11.41
497,dhing,100.0,IN,98.0,26.46,92.48,75.03,3.4
498,adrar,0.0,DZ,4.0,27.87,-0.29,116.6,3.87
499,nsanje,8.0,MZ,61.0,-16.92,35.26,64.77,5.64
500,artvin,75.0,TR,78.0,41.18,41.83,73.4,3.36
501,lethem,0.0,GY,47.0,3.38,-59.8,90.69,9.04
502,bethel,75.0,US,82.0,60.79,-161.76,62.6,3.36
503,bonthe,56.0,SL,80.0,7.53,-12.5,77.91,11.81
504,coolum beach,33.0,AU,76.0,-26.53,153.09,50.0,2.73
505,chishtian mandi,0.0,PK,33.0,29.8,72.87,101.67,16.53
506,port keats,31.0,AU,40.0,-14.25,129.55,64.59,17.96
507,tikrit,0.0,IQ,17.0,34.62,43.68,91.77,11.43
508,la ronge,40.0,CA,68.0,55.1,-105.3,68.0,4.7
509,snasa,75.0,NO,76.0,64.25,12.38,53.6,5.82
510,sur,69.0,OM,65.0,22.57,59.53,83.67,16.51
511,pangai,75.0,TO,73.0,-19.8,-174.35,75.2,16.11
512,aswan,0.0,EG,9.0,24.09,32.9,105.8,9.17
513,zdzieszowice,0.0,PL,55.0,50.42,18.12,64.4,8.05
514,karratha,0.0,AU,25.0,-20.74,116.85,64.95,15.97
515,shieli,0.0,KZ,14.0,44.18,66.74,91.23,7.23
516,tumut,100.0,AU,97.0,-35.3,148.22,38.85,14.45
517,malabo,28.0,CD,82.0,1.56,30.43,67.29,2.98
518,lovington,5.0,US,35.0,32.94,-103.35,88.0,5.82
519,solnechnyy,100.0,RU,90.0,50.72,136.64,60.09,1.3
520,carutapera,100.0,BR,70.0,-1.2,-46.02,82.95,9.78
521,kalmunai,94.0,LK,80.0,7.42,81.82,79.53,1.86
522,porbandar,99.0,IN,84.0,21.64,69.61,82.59,22.88
523,orissaare,50.0,EE,48.0,58.56,23.08,64.4,10.29
524,hastings,17.0,NZ,76.0,-39.64,176.84,45.15,7.52
525,ust-maya,0.0,RU,88.0,60.42,134.54,59.55,2.3
526,zlobin,0.0,HR,44.0,45.29,14.65,82.0,4.7
527,mikun,81.0,RU,81.0,62.35,50.08,55.77,1.83
528,margate,75.0,AU,61.0,-43.03,147.26,48.2,14.99
529,bosaso,3.0,SO,68.0,11.28,49.18,88.17,4.76
530,tautira,75.0,PF,65.0,-17.73,-149.15,77.0,11.41
531,am timan,30.0,TD,75.0,11.04,20.28,80.07,5.06
532,sobolevo,100.0,RU,88.0,54.43,31.9,55.23,3.49
533,moose factory,1.0,CA,60.0,51.26,-80.61,71.6,8.05
534,tulu bolo,96.0,ET,87.0,8.66,38.21,57.39,2.46
535,viloco,7.0,BO,27.0,-16.87,-67.5,53.97,7.05
536,corinto,40.0,CO,54.0,3.17,-76.26,84.2,4.7
537,mayskiy,40.0,RU,72.0,43.63,44.06,66.2,2.24
538,high level,90.0,CA,82.0,58.52,-117.13,57.2,11.41
539,liberty,1.0,US,62.0,39.64,-84.93,93.0,8.05
540,port augusta,72.0,AU,81.0,-32.49,137.76,50.0,6.93
541,klaksvik,100.0,FO,100.0,62.23,-6.59,53.6,4.7
542,nizwa,83.0,OM,38.0,22.93,57.53,83.49,3.67
543,luebo,31.0,CD,31.0,-5.35,21.42,83.31,2.28
544,safford,1.0,US,19.0,32.83,-109.71,98.6,6.93
545,wahiawa,75.0,US,83.0,21.5,-158.02,82.4,9.17
546,karacabey,75.0,TR,77.0,40.21,28.36,71.01,6.93
547,alford,42.0,GB,77.0,53.26,0.18,66.0,18.34
548,port antonio,20.0,JM,55.0,18.18,-76.45,89.6,26.4
549,crucea,75.0,RO,93.0,47.35,25.61,57.99,9.17
550,kribi,84.0,CM,86.0,2.94,9.91,78.09,14.74
551,campos novos,90.0,BR,90.0,-27.4,-51.22,63.15,6.4
552,safita,20.0,SY,69.0,34.82,36.12,77.0,6.93
553,trinidad,40.0,BO,59.0,-14.83,-64.9,89.6,5.82
554,do gonbadan,0.0,IR,12.0,30.36,50.8,93.2,2.48
