,City,Cloudiness,Country,Humidity,Lat,Lng,Max_temp,Wind_speed
91,aioi,68.0,JP,98.0,34.81,134.47,71.01,1.99
92,lorengau,100.0,PG,82.0,-2.02,147.27,78.45,8.28
93,souillac,0.0,FR,32.0,45.6,-0.6,82.99,12.75
94,butaritari,4.0,KI,69.0,3.07,172.79,83.31,4.03
95,yar-sale,51.0,RU,80.0,66.83,70.83,66.93,5.61
96,hilo,90.0,US,78.0,19.71,-155.08,77.0,6.93
97,cape town,0.0,ZA,81.0,-33.93,18.42,53.6,8.05
98,marawi,100.0,PH,96.0,8.0,124.29,73.99,6.49
99,sereflikochisar,78.0,TR,44.0,38.94,33.54,72.15,7.0
100,isangel,90.0,VU,94.0,-19.55,169.27,69.8,9.15
101,arman,82.0,RU,72.0,59.7,150.17,53.97,2.19
102,okha,84.0,RU,96.0,53.59,142.95,50.55,10.96
103,carnarvon,0.0,ZA,20.0,-30.97,22.13,59.19,9.86
104,troitsko-pechorsk,100.0,RU,97.0,62.71,56.19,58.47,6.98
105,saldanha,3.0,PT,40.0,41.42,-6.55,86.01,14.88
106,lavrentiya,89.0,RU,75.0,65.58,-170.99,56.85,3.22
107,sena madureira,2.0,BR,39.0,-9.07,-68.66,92.31,4.03
108,fortuna,90.0,US,93.0,40.6,-124.16,78.01,16.11
109,chuy,72.0,UY,71.0,-33.69,-53.46,51.99,9.01
110,estelle,0.0,FR,35.0,43.97,3.47,86.0,12.75
111,vaini,88.0,IN,88.0,15.34,74.49,77.91,2.04
112,victoria,75.0,BN,88.0,5.28,115.24,78.8,1.12
113,banjarmasin,80.0,ID,88.0,-3.32,114.59,72.51,8.28
114,saraland,100.0,US,79.0,30.82,-88.07,88.0,16.11
115,kisangani,57.0,CD,69.0,0.52,25.21,77.01,1.39
116,san lawrenz,0.0,MT,65.0,36.06,14.2,81.0,8.05
117,khandyga,6.0,RU,90.0,62.65,135.58,60.81,4.63
118,lucapa,0.0,AO,25.0,-8.42,20.74,76.29,4.63
119,leningradskiy,100.0,RU,95.0,69.38,178.42,35.07,3.33
120,kaeo,0.0,NZ,95.0,-35.1,173.78,44.01,1.99
121,constitucion,20.0,MX,41.0,23.99,-104.67,78.01,2.24
122,guerrero negro,0.0,MX,86.0,27.97,-114.04,68.01,7.2
123,marapanim,100.0,BR,80.0,-0.71,-47.7,80.79,19.28
124,barrow,96.0,AR,51.0,-38.31,-60.23,56.31,8.81
125,alice springs,0.0,AU,64.0,-23.7,133.88,35.6,3.36
126,naze,82.0,NG,88.0,5.43,7.07,76.29,7.43
127,ostrovnoy,30.0,RU,89.0,68.05,39.51,41.91,5.88
128,tiksi,35.0,RU,72.0,71.64,128.87,40.47,1.9
129,sola,20.0,TZ,36.0,-3.17,33.8,77.73,10.76
130,kangaatsiaq,0.0,GL,68.0,68.31,-53.46,45.15,14.45
131,jaru,0.0,BR,34.0,-10.43,-62.48,93.39,4.83
132,hami,82.0,CN,15.0,42.84,93.51,85.83,15.35
133,challapata,29.0,BO,21.0,-18.9,-66.78,50.37,1.23
134,zabaykalsk,52.0,CN,50.0,49.64,117.33,65.13,5.06
135,saint george,40.0,GR,53.0,39.45,22.34,77.0,8.05
136,ponta do sol,23.0,BR,35.0,-20.63,-46.0,78.27,4.94
137,graulhet,0.0,FR,28.0,43.76,2.0,84.2,19.46
138,ribeira grande,40.0,PT,50.0,38.52,-28.7,77.0,5.82
139,new haven,20.0,US,41.0,41.31,-72.93,91.99,6.93
140,mezen,29.0,RU,87.0,65.85,44.24,54.51,10.4
141,tual,41.0,ID,81.0,-5.67,132.75,77.37,21.03
142,iqaluit,20.0,CA,66.0,63.75,-68.52,51.8,10.29
143,pucallpa,47.0,PE,44.0,-8.38,-74.54,93.39,1.43
144,vagur,96.0,FO,97.0,61.47,-6.81,51.81,9.55
145,kaitangata,42.0,NZ,77.0,-46.28,169.85,37.0,3.0
146,mazagao,40.0,BR,59.0,-0.12,-51.29,91.4,13.87
147,yellowknife,20.0,CA,39.0,62.45,-114.38,66.2,8.05
148,bristol,40.0,GB,56.0,51.45,-2.6,73.0,12.75
149,sitka,17.0,US,48.0,37.17,-99.65,86.0,5.99
150,katherine,82.0,AU,33.0,-14.47,132.26,62.6,9.17
